Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
https://economicfreedom.heritage.org

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Argentina,2026,57.4,41.2,41.2,58.2,67.8,62.3,72.2,56.8,53.5,28.9,67.4,70,70
Barbados,2026,70.4,76.4,71.3,87.3,83.2,74.5,76.5,72.3,54.3,80.8,48.2,60,60
Belize,2026,64.7,46.3,46.2,73.9,81.8,81,87.5,67.2,57.6,72.6,57.8,55,50
Bolivia,2026,42.4,20.2,27.1,29.5,86.4,56.3,0.8,53.6,52.2,67.1,60.6,15,40
Brazil,2026,52.4,49.2,37.2,55.6,70.6,39.8,28,65.7,57,76,69,40,40
Canada,2026,75.6,85.9,85.5,96,74.7,45.9,79.7,84.2,68.3,73.8,83.2,60,70
Chile,2026,74.3,69.7,67.8,90.3,72.5,78.2,94.1,78.5,56.8,75.1,78,60,70
Colombia,2026,59.8,43.1,41.6,57.4,68.6,64,49.8,71.2,59.1,71.9,71.4,60,60
Costa Rica,2026,69.1,66,64.1,76.9,78.6,89.3,75.6,79.9,55.9,78.2,75,50,40
Cuba,2026,25.2,27.7,33,16,51.9,0,0,41.4,20,20,72.8,10,10
Dominica,2026,56.1,65.8,61.2,77.3,76.1,0,45.6,66.2,49.8,77.7,53.2,60,40
Dominican Republic,2026,63.8,53.9,39.8,58,84.4,89.1,76.6,71.4,53.2,72.1,67.4,60,40
Ecuador,2026,55.6,33.2,33,48.1,74.2,54.9,90.3,64.3,56.9,76.3,66.4,30,40
El Salvador,2026,57.7,42.7,31.5,15.3,76.8,72.7,59.4,65.7,51.6,70.6,76.4,70,60
Guatemala,2026,63.5,39.1,25.2,26.1,91.3,94.3,95.9,65.7,52.5,77.3,74.6,70,50
Guyana,2026,58.7,46.7,38.8,48.6,76.4,85,39.9,70.9,76,78.5,59.2,55,30
Haiti,2026,46.1,6.6,13,17.3,81.7,98.7,99.5,30.7,54.7,45.1,66.4,20,20
Honduras,2026,59.1,35.7,24.6,27.6,83.1,80.3,95.2,59.4,37.9,70.1,69.8,65,60
Jamaica,2026,68.2,66.8,49.4,75.6,76.3,76,92.2,68.5,59.2,74.2,70.4,60,50
Mexico,2026,59.8,37.6,28.8,40.4,75.4,74.6,56.7,67,57.3,70.6,74.2,75,60
Nicaragua,2026,53.6,23.8,13.4,8.8,74.5,77.7,96.9,54.4,47.3,69.4,67,60,50
Panama,2026,64.9,56.7,37.4,49.6,86.1,85.5,51.8,72.6,60.9,78.2,80.2,60,60
Paraguay,2026,66.4,44.2,27.3,38.4,95.9,86.9,83,72,44.1,76.5,78.4,80,70
Peru,2026,66.3,44,35,47.8,79.4,84.8,87.4,73.1,64.7,77.6,81.6,60,60
Saint Lucia,2026,67.5,64.3,59.7,77.3,77.7,82.6,80,71.9,65.2,81,60,50,40
Saint Vincent and the Grenadines,2026,60,65.2,63.3,76.9,82,56.2,2.8,67.3,60.1,77.3,58.8,70,40
Suriname,2026,53,40.5,41,46.5,69.1,74.3,76.6,56.9,69,56.4,65.2,20,20
The Bahamas,2026,65.1,62.7,67.1,79.8,96.1,83.8,9.1,69.4,66.5,77.2,59.4,50,60
Trinidad and Tobago,2026,62.4,47.3,45.5,58.8,76.1,71.1,86.3,67.1,57.2,81,68.8,50,40
United States,2026,72.8,91.6,77.1,76.4,75.3,57.9,18.5,88.6,76.3,84.2,67.6,80,80
Uruguay,2026,69.8,87.4,79,80.9,73.3,72,76.6,83.8,61.7,70.2,73.2,50,30
Venezuela,2026,27.3,0,6.9,5.1,73.4,93,29.1,31.1,35.5,0,43.2,0,10
